Объект: Офисное здание и производство «Русэко» г. Москва,Замена вышедшего из строя чиллера LESSAR,/nashi-proekty/zamena_vyshedshego_iz_stroya_chillera_lessar.html
Объект: Пищевое производство «Твердь» г. Москва,"Капитальный ремонт чиллера AERMEC, пуско-наладочные работы",/nashi-proekty/kapitalnyi_remont_chillera.html
Объект: «Скания-Русь» Московская область,Капитальный ремонт чиллера,/nashi-proekty/kapitalnyi_remont_chillera_3.html
Объект: Фитнес клуб «Фитпро» г. Москва,"Капитальный ремонт чиллера  AERMEC, пуско-наладочные работы",/nashi-proekty/kapitalnyi_remont_chillera_1.html
Объект: Производство «Лава» г. Вязьма,"Поставка чиллера, шеф-монтаж, пуско-наладочные работы",/nashi-proekty/postavka_chillera.html
Объект: «Вольво Трак Центр» г. Калуга,Техническое обслуживание чиллеров AERMEC,/nashi-proekty/tehnicheskoe_obsluzhivanie.html
"Объект: Производство «Эггер древпродукт» Смоленская обл, г. Гагарин",Ремонтные работы оборудования AERMEC,/nashi-proekty/remontnye_raboty.html
Объект: Стадион «Спартак» г. Москва,Капитальный ремонт чиллера AERMEC,/nashi-proekty/kapitalnyi_remont_chillera_8.html
Объект: Гостиница «Савой» г. Москва,"Поставка, пуско-наладка чиллера",/nashi-proekty/remontnye_raboty_1.html
Объект: Торговый центр «Рио Саранск»  г. Саранск,"Капитальный ремонт чиллера AERMEC, пуско-наладочные работы",/nashi-proekty/kapitalnyi_remont_chillera_2.html
"Объект: Пищевое производство «АСГ Констракшн Ступино, МАРС» Московская обл, г. Ступино","Поставка чиллера CLIMAVENETA, пуско-наладочные работы",/nashi-proekty/postavka_chillera_1.html
Объект: Офис «Дойчебанк» г. Москва,Капитальный ремонт чиллера,/nashi-proekty/kapitalnyi_remont_chillera_4.html
"Объект: Производство «К Флекс» Московская обл, Истринский р-н","Текущий, капитальный  ремонт, техническое обслуживание",/nashi-proekty/tekuschiy_kapitalnyi_remont_tehnicheskoe_obsluzhivanie.html
Объект: Торговый центр «Евромаг» г. Москва,"Ремонт чиллера, замена компрессоров",/nashi-proekty/remont_chillera.html
"Объект: Пищевое производство «Каверион Санкт-Петербург Монделиз» Владимирская обл, г. Покров","Капитальный ремонт чиллера, пуско-наладка",/nashi-proekty/kapitalnyi_remont_chillera_5.html
Объект: Пищевое производство «Мираторг» г. Брянск,Шеф-монтаж и пуско-наладочные работы чиллера CLIMAVENETA,/nashi-proekty/pnr_me.html
"Объект: Фарм. производство «Лекко» Владимирская обл, п. Вольгинский",Пуско-наладочные работы чиллера CLIMAVENETA,/nashi-proekty/pnr_me_1.html
Объект: Торговый центр «Семь пятниц» г. Пермь,Капитальный ремонт чиллера AERMEC,/nashi-proekty/kapitalnyi_remont_chillera_6.html
"Объект: Производство «ЦФСК, Прогресс» г. Липецк","Поставка чиллера CLIMAVENETA, пуско-наладочные работы",/nashi-proekty/postavka.html
"Объект: Центральный банк Российской Федерации, г. Тула",Пуско-наладочные работы чиллера CLIMAVENETA,/nashi-proekty/pnr_me_2.html
"Объект: ТЦ «КРАСНЫЙ КИТ» Московская обл., г. Мытищи, торговый центр","Ремонт чиллера, замена теплообменника",/nashi-proekty/remont_chillera_zamena_teploobmennika.html
Объект: Офисное здание банка «Банк Интеза» г. Москва,"Замена чиллера (поставка, монтаж и пуско-наладка)",/nashi-proekty/zamena_oborudovaniya.html
"Объект: Производство «Шаттдекор» Московская обл, г. Чехов",Пуско-наладочные работы чиллера CLIMAVENETA,/nashi-proekty/pnr_me_3.html
"Объект: Пищевое производство «АПФ  ФАНАГОРИЯ» Краснодарский край, п. Сенной",Капитальный ремонт чиллера,/nashi-proekty/kapitalnyi_remont_chillera_7.html
